Please enter your age (enter a valid number):;Please select your gender;What is the highest level of education you have completed?;Please enter your field of study (if applicable):;Have you ever listened to music that you knew was AI-performed?;If yes, how frequently do you listen to AI-performed music?;How would you rate your familiarity with AI-performed music?;1 - WONDER;1 - TRANSCENDENCE ;1 - NOSTALGIA ;1 - TENDERNESS ;1 - PEACEFULNESS ;1 - JOY ;1 - POWER ;1 - TENSION ;1 - SADNESS;1- Other:;2 - WONDER;2 - TRANSCENDENCE ;2 - NOSTALGIA ;2 - TENDERNESS ;2 - PEACEFULNESS ;2 - JOY ;2 - POWER ;2 - TENSION ;2 - SADNESS;2 - Other:;3 - WONDER ;3 - TRANSCENDENCE ;3 - NOSTALGIA;3 - TENDERNESS;3 - PEACEFULNESS;3 - JOY ;3 - POWER;3 - TENSION ;3 - SADNESS ;3 - Other:;4 - WONDER ;4 - TRANSCENDENCE ;4 - NOSTALGIA;4 - TENDERNESS;4 - PEACEFULNESS;4 - JOY ;4 - POWER;4 - TENSION ;4 - SADNESS ;4 - Other:;5 - WONDER ;5 - TRANSCENDENCE ;5 - NOSTALGIA;5 - TENDERNESS;5 - PEACEFULNESS;5 - JOY ;5 - POWER;5 - TENSION ;5 - SADNESS ;5 - Other:;6 - WONDER ;6 - TRANSCENDENCE ;6 - NOSTALGIA;6 - TENDERNESS;6 - PEACEFULNESS;6 - JOY ;6 - POWER;6 - TENSION ;6 - SADNESS ;Other:;7 - WONDER ;7 - TRANSCENDENCE ;7 - NOSTALGIA;7 - TENDERNESS;7 - PEACEFULNESS;7 - JOY ;7 - POWER;7 - TENSION ;7 - SADNESS ;Other:;8 - WONDER ;8 - TRANSCENDENCE ;8 - NOSTALGIA;8 - TENDERNESS;8 - PEACEFULNESS;8 - JOY ;8 - POWER;8 - TENSION ;8 - SADNESS ;Other:;9 - WONDER ;9 - TRANSCENDENCE ;9 - NOSTALGIA;9 - TENDERNESS;9 - PEACEFULNESS;9 - JOY ;9 - POWER;9 - TENSION ;9 - SADNESS ;Other:;10 - WONDER ;10 - TRANSCENDENCE ;10 - NOSTALGIA;10 - TENDERNESS;10 - PEACEFULNESS;10 - JOY ;10 - POWER;10 - TENSION ;10 - SADNESS ;Other:;11 - WONDER ;11 - TRANSCENDENCE ;11 - NOSTALGIA;11 - TENDERNESS;11 - PEACEFULNESS;11 - JOY ;11 - POWER;11 - TENSION ;11 - SADNESS ;Other:;12 - WONDER ;12 - TRANSCENDENCE ;12 - NOSTALGIA;12 - TENDERNESS;12 - PEACEFULNESS;12 - JOY ;12 - POWER;12 - TENSION ;12 - SADNESS ;Other:;13 - WONDER ;13 - TRANSCENDENCE ;13 - NOSTALGIA;13 - TENDERNESS;13 - PEACEFULNESS;13 - JOY ;13 - POWER;13 - TENSION ;13 - SADNESS ;Other:;14 - WONDER ;14 - TRANSCENDENCE ;14 - NOSTALGIA;14 - TENDERNESS;14 - PEACEFULNESS;14 - JOY ;14 - POWER;14 - TENSION ;14 - SADNESS ;Other:;15 - WONDER ;15 - TRANSCENDENCE ;15 - NOSTALGIA;15 - TENDERNESS;15 - PEACEFULNESS;15 - JOY ;15 - POWER;15 - TENSION ;15 - SADNESS ;Other:;16 - WONDER ;16 - TRANSCENDENCE ;16 - NOSTALGIA;16 - TENDERNESS;16 - PEACEFULNESS;16 - JOY ;16 - POWER;16 - TENSION ;16 - SADNESS ;Other:;17 - WONDER ;17 - TRANSCENDENCE ;17 - NOSTALGIA;17 - TENDERNESS;17 - PEACEFULNESS;17 - JOY ;17 - POWER;17 - TENSION ;17 - SADNESS ;Other:;18 - WONDER ;18 - TRANSCENDENCE ;18 - NOSTALGIA;18 - TENDERNESS;18 - PEACEFULNESS;18 - JOY ;18 - POWER;18 - TENSION ;18 - SADNESS ;Other:;19 - WONDER ;19 - TRANSCENDENCE ;19 - NOSTALGIA;19 - TENDERNESS;19 - PEACEFULNESS;19 - JOY ;19 - POWER;19 - TENSION ;19 - SADNESS ;Other:;20 - WONDER ;20 - TRANSCENDENCE ;10 - NOSTALGIA;20 - TENDERNESS;20 - PEACEFULNESS;20 - JOY ;20 - POWER;20 - TENSION ;20 - SADNESS ;Other:;21 - WONDER ;21 - TRANSCENDENCE ;21 - NOSTALGIA;21 - TENDERNESS;21 - PEACEFULNESS;21 - JOY ;21 - POWER;21 - TENSION ;21 - SADNESS ;Other:;22 - WONDER ;22 - TRANSCENDENCE ;22- NOSTALGIA;22 - TENDERNESS;22 - PEACEFULNESS;22 - JOY ;22 - POWER;22 - TENSION ;22 - SADNESS ;Other:;23 - WONDER ;23 - TRANSCENDENCE ;23 - NOSTALGIA;23 - TENDERNESS;23 - PEACEFULNESS;23 - JOY ;23 - POWER;23 - TENSION ;23 - SADNESS ;Other:;24 - WONDER ;24 - TRANSCENDENCE ;24 - NOSTALGIA;24 - TENDERNESS;24 - PEACEFULNESS;24 - JOY ;24 - POWER;24 - TENSION ;24 - SADNESS ;Other:;25 - WONDER ;25 - TRANSCENDENCE ;25 - NOSTALGIA;25 - TENDERNESS;25 - PEACEFULNESS;25 - JOY ;25 - POWER;25 - TENSION ;25 - SADNESS ;Other:;26 - WONDER ;26 - TRANSCENDENCE ;26 - NOSTALGIA;26 - TENDERNESS;26 - PEACEFULNESS;26 - JOY ;26 - POWER;26 - TENSION ;26 - SADNESS ;Other:;27 - WONDER ;27 - TRANSCENDENCE ;27 - NOSTALGIA;27 - TENDERNESS;27 - PEACEFULNESS;27 - JOY ;27 - POWER;27 - TENSION ;27 - SADNESS ;Other:;28 - WONDER ;28 - TRANSCENDENCE ;28 - NOSTALGIA;28 - TENDERNESS;28 - PEACEFULNESS;28 - JOY ;28 - POWER;28 - TENSION ;28 - SADNESS ;Other:;29 - WONDER ;29 - TRANSCENDENCE ;29 - NOSTALGIA;29 - TENDERNESS;29 - PEACEFULNESS;29 - JOY ;29 - POWER;29 - TENSION ;29 - SADNESS ;Other:;30 - WONDER ;30 - TRANSCENDENCE ;30 - NOSTALGIA;30 - TENDERNESS;30 - PEACEFULNESS;30 - JOY ;30 - POWER;30 - TENSION ;30 - SADNESS ;Other:;How would you rate your overall enjoyment of the presented fragments?;Would you say your fragments were performed by humans or by an AI?;Confidence level:;All of these fragments were performed by humans. Does this surprise you?;Please explain why:;Additional comments on the experiment:;
18;Male;High school diploma or equivalent;CSAI;Yes;Never;Slightly familiar;6;8;2;5;2;8;7;9;0;;1;1;7;2;10;3;1;0;4;;2;4;9;4;7;3;3;2;6;;1;1;10;6;8;5;1;0;6;;4;5;3;2;2;1;4;6;3;;2;2;7;6;5;6;3;2;3;;6;5;2;1;;2;4;9;2;;5;8;3;3;3;3;6;6;2;;2;5;4;2;3;2;3;4;4;;8;7;1;5;1;7;6;7;1;;2;1;4;2;8;3;1;2;5;;2;3;4;5;5;7;4;3;1;;2;5;4;3;4;4;3;4;3;;1;2;6;2;5;1;3;4;9;;6;7;4;6;1;8;9;6;1;;6;2;2;4;3;6;4;3;2;;6;9;2;1;1;2;9;8;4;;2;2;6;4;8;5;1;1;1;;7;7;3;3;1;3;5;8;1;;1;2;6;6;10;6;2;2;2;;8;7;3;3;1;1;9;8;4;;5;6;5;2;4;5;3;7;3;;5;4;6;5;2;6;4;5;1;;1;1;5;4;7;2;1;1;4;;7;6;3;5;1;7;8;7;;;7;4;2;2;1;4;4;6;2;;6;5;1;1;1;4;3;6;2;;4;3;4;2;4;2;2;3;4;a little bit of everything;7;5;2;5;1;7;6;7;1;;5;4;3;4;2;3;4;5;3;;I liked some of the fragments.;Both human- and AI-performed;4;Yes, I am somewhat surprised.;There were very similar sounds, so it is interesting that no one of them is made by AI;I really enjoyed it, recommended experience for the people who enjoys music as I do!;
22;Female;Bachelor's degree;communication and information sciences;No;Never;Not at all familiar;8;5;4;3;0;5;0;0;0;;0;0;6;6;2;0;0;0;7;;6;2;8;5;6;0;0;0;7;;5;8;4;7;6;0;0;0;5;;8;9;10;8;5;3;0;1;7;;7;6;3;9;8;7;0;0;0;;4;7;5;0;0;0;9;10;0;;4;4;9;3;0;2;5;4;6;;3;2;5;6;5;0;0;2;8;;1;1;3;2;0;8;10;4;0;;6;7;8;10;8;3;0;0;8;;3;2;8;8;7;5;0;0;1;;6;8;8;9;9;2;0;0;10;;10;10;9;2;7;0;0;3;10;;4;7;9;1;0;10;9;0;0;;8;7;8;10;9;5;3;0;0;;4;8;7;0;0;1;10;10;0;;6;7;10;10;9;;0;0;8;;0;2;3;0;0;0;8;8;2;;7;9;9;6;4;0;8;3;9;;5;6;2;0;0;1;9;10;0;;3;5;2;0;0;0;7;4;1;;2;2;7;3;3;1;3;0;3;;3;4;6;7;8;0;0;0;9;;7;8;5;0;0;10;10;1;0;;9;9;10;1;0;3;8;4;0;;4;7;7;0;0;1;3;9;3;;1;2;1;1;8;3;1;0;2;;0;1;3;0;1;4;2;2;0;;5;4;4;2;3;1;3;0;1;;I liked all of the fragments.;Both human- and AI-performed;3;No, I am not surprised.;While I did think it was performed by both humans and AI, this was mostly because in some of the recordings there was background noise, like coughing or applause. This made me feel like the fragments without any background noise were AI generated.;;
20;Male;High school diploma or equivalent;Human Resource Studies: People Management BSc;No;;Slightly familiar;7;5;6;6;3;9;8;6;2;;6;3;6;3;7;2;3;6;4;;4;5;7;5;3;5;3;6;4;;1;2;8;3;9;3;1;0;6;;6;7;8;7;6;3;2;1;7;;7;6;8;6;3;2;3;1;;;;7;1;;;;8;9;1;;8;7;6;2;0;6;8;7;6;;3;7;3;1;3;1;8;9;7;;9;7;3;1;;9;8;3;;;6;1;9;7;8;6;;1;4;;6;1;3;1;;7;6;7;;;1;8;3;1;;1;8;9;3;;3;9;9;1;;;8;9;7;;9;9;8;6;;8;9;9;2;;6;3;9;8;7;3;7;4;3;;;9;3;;;;9;10;6;;;2;4;;6;;7;4;6;;3;9;6;1;;4;8;9;3;;2;6;7;6;4;5;6;5;2;;2;8;7;2;;4;8;9;3;;7;5;3;2;;3;8;7;1;;2;8;3;6;1;6;8;9;1;;3;1;6;7;8;1;2;1;6;;8;9;6;5;;8;8;9;;;6;8;9;8;;3;9;10;6;;1;8;3;6;;2;6;9;1;;2;5;7;9;8;1;3;2;8;;8;9;9;7;;6;10;9;2;;3;8;5;7;6;6;8;9;1;;I liked most of the fragments.;Both human- and AI-performed;4;Yes, I am somewhat surprised.;Some of them I have heard of before and know that they were performed humans but some of them I wasn't sure if it's AI but there is a chance of that too. ;No, comment. I wish you the best you luck in your paper. ;
;Female;High school diploma or equivalent;psychology;Yes;Sometimes;Not at all familiar;1;4;;;;9;1;4;;;1;;8;3;8;;;;8;;;;6;7;8;1;;;;;;;5;9;9;2;;;;;;;9;3;5;0;;2;;;0;;3;8;1;8;;;;;;2;;;;;8;10;;;4;;2;1;1;1;;2;2;;2;;2;3;1;;;;5;;;6;;;;7;;;;;;;8;7;3;3;;;;;;;4;5;3;6;;;;;;;3;2;4;;;;;;5;;7;2;;;6;3;6;;;7;;;;7;2;3;;;;;7;7;8;2;;;;;;8;;;;;9;8;;;;;9;8;8;;;;;;;;;;;;;7;1;;;;9;1;3;;1;4;;;;5;;;;;4;8;;;;3;;;;1;;7;;;;;7;6;;4;;1;;;;;1;2;6;1;;;1;;;7;;;;3;6;1;;;;;;;;2;;7;;curious;;;;;;;;6;;;;;6;8;4;;;;;;;3;;;;6;8;1;;;3;;5;1;;2;;1;;;I liked most of the fragments.;Both human- and AI-performed;4;No, I am not surprised.;i expected it to be both by human and AI based on the music i have heard in the past that was ai produced. in most cases you can barely tell a difference so i would not have been surprised if some of these would have been AI because they all (or for the most part) sounded like typical classical music fragments of original pieces performed in a concert hall or similar. I think the only reason that made me believe that some of them were AI is that i was expecting it based on the informed consent, type of question etc. ;;
24;Female;Bachelor's degree;Communication Information Sciences/ Humanities and Digital Studies ;Yes;Never;Not at all familiar;10;5;7;6;5;9;1;;;;3;2;8;1;9;;;;7;;9;2;7;8;5;4;;;;;1;2;8;3;5;2;;;8;;5;5;3;2;1;3;2;9;1;;8;6;9;7;5;6;1;;;;0;6;;;;1;10;8;;;8;8;5;3;;4;3;;;;2;2;2;;9;;;;7;;2;3;;;;10;;;;;4;;8;9;;;;;7;;;;1;1;4;6;;;;;;;4;2;8;3;;;1;;;;6;3;4;;;2;7;;4;6;;;;8;9;;;;6;;9;10;7;2;;;;;;7;;;;;10;9;;;7;4;9;9;8;3;;;1;;;3;;;;;6;9;;;9;5;10;6;5;;;;3;;;6;;;;;10;8;;;;;;;2;5;6;;;;8;8;9;10;3;6;;;;;;;3;;8;;;;4;;;7;;;;4;10;2;;;;3;;;;;3;8;;;;3;;;;;2;7;;;3;2;7;4;5;;;;7;;;4;;;;7;8;;;;8;6;7;6;0;1;;;;;I liked all of the fragments.;Both human- and AI-performed;5;Yes, I am very surprised.;I assumed some were generated by AI since there was a delay in the beginning of some musical fragments;I really enjoyed it, good luck with your research! ;
25;Male;Bachelor's degree;Communication & Information Sciences;No;Never;Slightly familiar;5;3;5;2;5;6;3;2;2;;5;4;4;3;5;2;2;2;7;;3;3;3;3;6;3;3;3;3;;2;2;7;3;6;3;2;2;4;;4;3;7;3;6;2;2;3;7;;2;2;3;2;5;2;2;2;5;;3;3;2;2;2;2;3;3;2;;5;5;6;3;4;3;2;2;3;;6;5;6;2;5;2;2;2;6;;2;2;2;2;2;5;2;2;2;;3;3;7;2;5;3;2;2;3;;3;2;2;1;2;3;1;1;1;;2;2;1;1;3;1;1;1;1;;5;5;6;2;5;2;2;2;7;;4;7;2;2;2;6;3;1;1;;2;2;3;2;6;2;1;1;2;;6;7;3;1;1;3;6;3;2;;2;2;6;3;7;3;1;1;4;;2;3;2;1;1;1;1;1;2;;7;7;7;3;6;3;3;2;5;;3;5;2;1;1;2;2;2;1;;2;2;2;2;2;2;2;2;2;;2;2;2;1;6;2;1;1;1;;2;1;3;4;7;2;1;1;3;;5;5;3;1;2;4;4;2;1;;5;5;6;2;4;3;2;2;2;;2;2;5;1;5;2;1;1;2;;2;2;2;2;2;2;2;2;2;;5;5;3;1;2;6;4;1;1;;2;2;2;1;2;1;1;1;1;;I liked more than half of the fragments.;Both human- and AI-performed;3;No, I am not surprised.;Due to their highly melodic nature. Also, I was able to hear occasional coughing from audience members.;;
