index;Mean
Please enter your age (enter a valid number):;19.904761904761905
1 - WONDER;4.285714285714286
1 - TRANSCENDENCE ;3.7142857142857144
1 - NOSTALGIA ;2.0
1 - TENDERNESS ;1.8095238095238095
1 - PEACEFULNESS ;1.4761904761904763
1 - JOY ;7.333333333333333
1 - POWER ;3.4285714285714284
1 - TENSION ;2.619047619047619
1 - SADNESS;0.2857142857142857
2 - WONDER;2.9523809523809526
2 - TRANSCENDENCE ;2.7142857142857144
2 - NOSTALGIA ;5.857142857142857
2 - TENDERNESS ;2.380952380952381
2 - PEACEFULNESS ;4.9523809523809526
2 - JOY ;1.0
2 - POWER ;1.0952380952380953
2 - TENSION ;1.0476190476190477
2 - SADNESS;3.8095238095238093
3 - WONDER ;2.8095238095238093
3 - TRANSCENDENCE ;2.4761904761904763
3 - NOSTALGIA;5.238095238095238
3 - TENDERNESS;3.761904761904762
3 - PEACEFULNESS;4.380952380952381
3 - JOY ;2.2857142857142856
3 - POWER;1.4761904761904763
3 - TENSION ;1.0
3 - SADNESS ;2.2857142857142856
4 - WONDER ;2.9523809523809526
4 - TRANSCENDENCE ;2.0
4 - NOSTALGIA;5.285714285714286
4 - TENDERNESS;4.285714285714286
4 - PEACEFULNESS;6.523809523809524
4 - JOY ;1.8571428571428572
4 - POWER;0.47619047619047616
4 - TENSION ;0.42857142857142855
4 - SADNESS ;3.0952380952380953
5 - WONDER ;3.0476190476190474
5 - TRANSCENDENCE ;3.0476190476190474
5 - NOSTALGIA;3.7142857142857144
5 - TENDERNESS;2.1904761904761907
5 - PEACEFULNESS;2.761904761904762
5 - JOY ;1.2857142857142858
5 - POWER;1.2857142857142858
5 - TENSION ;2.7142857142857144
5 - SADNESS ;2.1904761904761907
6 - WONDER ;3.5238095238095237
6 - TRANSCENDENCE ;2.9047619047619047
6 - NOSTALGIA;4.714285714285714
6 - TENDERNESS;6.285714285714286
6 - PEACEFULNESS;4.476190476190476
6 - JOY ;3.5238095238095237
6 - POWER;1.0476190476190477
6 - TENSION ;0.6190476190476191
6 - SADNESS ;1.8095238095238095
7 - WONDER ;1.8571428571428572
7 - TRANSCENDENCE ;2.9523809523809526
7 - NOSTALGIA;0.7619047619047619
7 - TENDERNESS;0.2857142857142857
7 - PEACEFULNESS;0.2857142857142857
7 - JOY ;0.6190476190476191
7 - POWER;5.761904761904762
7 - TENSION ;7.095238095238095
7 - SADNESS ;0.6666666666666666
8 - WONDER ;4.095238095238095
8 - TRANSCENDENCE ;3.0476190476190474
8 - NOSTALGIA;4.142857142857143
8 - TENDERNESS;1.8571428571428572
8 - PEACEFULNESS;1.7142857142857142
8 - JOY ;1.7142857142857142
8 - POWER;2.6666666666666665
8 - TENSION ;2.4285714285714284
8 - SADNESS ;2.5714285714285716
9 - WONDER ;1.9523809523809523
9 - TRANSCENDENCE ;2.761904761904762
9 - NOSTALGIA;3.1904761904761907
9 - TENDERNESS;1.2857142857142858
9 - PEACEFULNESS;2.8095238095238093
9 - JOY ;0.7619047619047619
9 - POWER;1.5238095238095237
9 - TENSION ;2.619047619047619
9 - SADNESS ;3.5238095238095237
10 - WONDER ;2.619047619047619
10 - TRANSCENDENCE ;2.5238095238095237
10 - NOSTALGIA;0.8095238095238095
10 - TENDERNESS;1.2857142857142858
10 - PEACEFULNESS;0.5238095238095238
10 - JOY ;7.571428571428571
10 - POWER;3.5714285714285716
10 - TENSION ;1.7619047619047619
10 - SADNESS ;0.2857142857142857
11 - WONDER ;3.0952380952380953
11 - TRANSCENDENCE ;1.619047619047619
11 - NOSTALGIA;6.238095238095238
11 - TENDERNESS;4.761904761904762
11 - PEACEFULNESS;4.904761904761905
11 - JOY ;1.5238095238095237
11 - POWER;0.2857142857142857
11 - TENSION ;0.38095238095238093
11 - SADNESS ;3.2857142857142856
12 - WONDER ;2.0
12 - TRANSCENDENCE ;1.0952380952380953
12 - NOSTALGIA;3.0
12 - TENDERNESS;2.5714285714285716
12 - PEACEFULNESS;1.9047619047619047
12 - JOY ;4.285714285714286
12 - POWER;1.0
12 - TENSION ;1.2380952380952381
12 - SADNESS ;0.3333333333333333
13 - WONDER ;2.8095238095238093
13 - TRANSCENDENCE ;2.3333333333333335
13 - NOSTALGIA;3.3333333333333335
13 - TENDERNESS;2.1904761904761907
13 - PEACEFULNESS;3.3333333333333335
13 - JOY ;1.4761904761904763
13 - POWER;1.380952380952381
13 - TENSION ;0.9523809523809523
13 - SADNESS ;1.7619047619047619
14 - WONDER ;3.4285714285714284
14 - TRANSCENDENCE ;2.8095238095238093
14 - NOSTALGIA;5.523809523809524
14 - TENDERNESS;1.3333333333333333
14 - PEACEFULNESS;2.3333333333333335
14 - JOY ;0.3333333333333333
14 - POWER;1.8571428571428572
14 - TENSION ;2.9047619047619047
14 - SADNESS ;6.857142857142857
15 - WONDER ;3.9047619047619047
15 - TRANSCENDENCE ;5.428571428571429
15 - NOSTALGIA;2.7142857142857144
15 - TENDERNESS;2.0
15 - PEACEFULNESS;0.6190476190476191
15 - JOY ;7.0476190476190474
15 - POWER;5.333333333333333
15 - TENSION ;2.0952380952380953
15 - SADNESS ;0.2857142857142857
16 - WONDER ;3.619047619047619
16 - TRANSCENDENCE ;2.4285714285714284
16 - NOSTALGIA;5.0476190476190474
16 - TENDERNESS;4.714285714285714
16 - PEACEFULNESS;5.238095238095238
16 - JOY ;2.2857142857142856
16 - POWER;1.4285714285714286
16 - TENSION ;0.7619047619047619
16 - SADNESS ;1.5714285714285714
17 - WONDER ;2.4285714285714284
17 - TRANSCENDENCE ;5.857142857142857
17 - NOSTALGIA;1.3333333333333333
17 - TENDERNESS;0.23809523809523808
17 - PEACEFULNESS;0.23809523809523808
17 - JOY ;0.8571428571428571
17 - POWER;8.047619047619047
17 - TENSION ;7.0476190476190474
17 - SADNESS ;1.8095238095238095
18 - WONDER ;3.8095238095238093
18 - TRANSCENDENCE ;2.9523809523809526
18 - NOSTALGIA;6.904761904761905
18 - TENDERNESS;5.333333333333333
18 - PEACEFULNESS;6.428571428571429
18 - JOY ;1.4285714285714286
18 - POWER;0.8095238095238095
18 - TENSION ;0.5714285714285714
18 - SADNESS ;2.238095238095238
19 - WONDER ;1.4285714285714286
19 - TRANSCENDENCE ;2.142857142857143
19 - NOSTALGIA;1.1428571428571428
19 - TENDERNESS;0.38095238095238093
19 - PEACEFULNESS;0.2857142857142857
19 - JOY ;0.6666666666666666
19 - POWER;2.619047619047619
19 - TENSION ;6.190476190476191
19 - SADNESS ;1.9523809523809523
20 - WONDER ;4.571428571428571
20 - TRANSCENDENCE ;4.142857142857143
10 - NOSTALGIA.1;6.809523809523809
20 - TENDERNESS;3.8095238095238093
20 - PEACEFULNESS;4.476190476190476
20 - JOY ;1.619047619047619
20 - POWER;1.9523809523809523
20 - TENSION ;1.7142857142857142
20 - SADNESS ;2.380952380952381
21 - WONDER ;1.8571428571428572
21 - TRANSCENDENCE ;4.238095238095238
21 - NOSTALGIA;1.7142857142857142
21 - TENDERNESS;0.6190476190476191
21 - PEACEFULNESS;0.23809523809523808
21 - JOY ;0.8571428571428571
21 - POWER;6.428571428571429
21 - TENSION ;6.666666666666667
21 - SADNESS ;1.8095238095238095
22 - WONDER ;1.8095238095238095
22 - TRANSCENDENCE ;2.142857142857143
22- NOSTALGIA;1.2857142857142858
22 - TENDERNESS;0.47619047619047616
22 - PEACEFULNESS;0.5714285714285714
22 - JOY ;1.3333333333333333
22 - POWER;3.3333333333333335
22 - TENSION ;4.571428571428571
22 - SADNESS ;1.5238095238095237
23 - WONDER ;3.0952380952380953
23 - TRANSCENDENCE ;2.4761904761904763
23 - NOSTALGIA;4.809523809523809
23 - TENDERNESS;3.2857142857142856
23 - PEACEFULNESS;2.238095238095238
23 - JOY ;2.6666666666666665
23 - POWER;1.380952380952381
23 - TENSION ;1.5714285714285714
23 - SADNESS ;1.0476190476190477
24 - WONDER ;1.380952380952381
24 - TRANSCENDENCE ;0.9047619047619048
24 - NOSTALGIA;3.5714285714285716
24 - TENDERNESS;2.6666666666666665
24 - PEACEFULNESS;5.095238095238095
24 - JOY ;1.0476190476190477
24 - POWER;0.3333333333333333
24 - TENSION ;0.38095238095238093
24 - SADNESS ;2.9047619047619047
25 - WONDER ;3.2857142857142856
25 - TRANSCENDENCE ;5.0
25 - NOSTALGIA;1.6666666666666667
25 - TENDERNESS;0.7619047619047619
25 - PEACEFULNESS;0.3333333333333333
25 - JOY ;6.142857142857143
25 - POWER;7.333333333333333
25 - TENSION ;4.0
25 - SADNESS ;0.23809523809523808
26 - WONDER ;4.190476190476191
26 - TRANSCENDENCE ;3.0476190476190474
26 - NOSTALGIA;2.619047619047619
26 - TENDERNESS;1.1428571428571428
26 - PEACEFULNESS;1.1904761904761905
26 - JOY ;2.5714285714285716
26 - POWER;2.761904761904762
26 - TENSION ;3.857142857142857
26 - SADNESS ;1.1904761904761905
27 - WONDER ;1.5238095238095237
27 - TRANSCENDENCE ;2.761904761904762
27 - NOSTALGIA;1.4285714285714286
27 - TENDERNESS;0.6190476190476191
27 - PEACEFULNESS;0.8095238095238095
27 - JOY ;1.1428571428571428
27 - POWER;1.0476190476190477
27 - TENSION ;5.285714285714286
27 - SADNESS ;0.7619047619047619
28 - WONDER ;2.4285714285714284
28 - TRANSCENDENCE ;1.9523809523809523
28 - NOSTALGIA;4.476190476190476
28 - TENDERNESS;3.761904761904762
28 - PEACEFULNESS;4.476190476190476
28 - JOY ;1.0476190476190477
28 - POWER;0.7142857142857143
28 - TENSION ;0.8095238095238095
28 - SADNESS ;2.857142857142857
29 - WONDER ;2.9523809523809526
29 - TRANSCENDENCE ;3.9047619047619047
29 - NOSTALGIA;1.6666666666666667
29 - TENDERNESS;1.0952380952380953
29 - PEACEFULNESS;0.7142857142857143
29 - JOY ;5.761904761904762
29 - POWER;6.666666666666667
29 - TENSION ;3.0
29 - SADNESS ;0.2857142857142857
30 - WONDER ;3.8095238095238093
30 - TRANSCENDENCE ;3.0476190476190474
30 - NOSTALGIA;3.1904761904761907
30 - TENDERNESS;1.9523809523809523
30 - PEACEFULNESS;2.0476190476190474
30 - JOY ;1.1904761904761905
30 - POWER;2.142857142857143
30 - TENSION ;1.8571428571428572
30 - SADNESS ;1.7142857142857142
Confidence level:;3.761904761904762
Unnamed: 313;0.0
